date,cases_male_0-9,cases_male_10-19,cases_male_20-29,cases_male_30-39,cases_male_40-49,cases_male_50-59,cases_male_60-69,cases_male_70-79,cases_male_80-89,cases_male_90-,deaths_male_0-9,deaths_male_10-19,deaths_male_20-29,deaths_male_30-39,deaths_male_40-49,deaths_male_50-59,deaths_male_60-69,deaths_male_70-79,deaths_male_80-89,deaths_male_90-,cases_female_0-9,cases_female_10-19,cases_female_20-29,cases_female_30-39,cases_female_40-49,cases_female_50-59,cases_female_60-69,cases_female_70-79,cases_female_80-89,cases_female_90-,deaths_female_0-9,deaths_female_10-19,deaths_female_20-29,deaths_female_30-39,deaths_female_40-49,deaths_female_50-59,deaths_female_60-69,deaths_female_70-79,deaths_female_80-89,deaths_female_90-,cases_male_total,deaths_male_total,cases_female_total,deaths_female_total
2020-04-02,381.0,475.0,1919.0,3505.0,6480.0,11149.0,11761.0,12281.0,8553.0,1374.0,0.0,0.0,4.0,22.0,81.0,377.0,1144.0,3146.0,3259.0,558.0,307.0,454.0,2531.0,3885.0,7130.0,9706.0,6254.0,6868.0,7644.0,2973.0,0.0,0.0,2.0,7.0,29.0,100.0,299.0,1041.0,1767.0,692.0,57878.0,8591.0,47752.0,3937.0
2020-04-03,398.25,511.5,2045.75,3668.25,6721.0,11523.75,12085.0,12606.0,8881.75,1443.25,0.0,0.0,4.0,22.5,86.25,394.5,1195.25,3273.75,3392.5,586.0,324.0,489.5,2693.5,4108.75,7522.75,10181.5,6517.0,7148.5,8114.25,3235.75,0.25,0.0,2.25,7.75,30.25,104.5,317.25,1091.75,1864.5,732.5,59884.5,8954.75,50335.5,4151.0
2020-04-04,415.5,548.0,2172.5,3831.5,6962.0,11898.5,12409.0,12931.0,9210.5,1512.5,0.0,0.0,4.0,23.0,91.5,412.0,1246.5,3401.5,3526.0,614.0,341.0,525.0,2856.0,4332.5,7915.5,10657.0,6780.0,7429.0,8584.5,3498.5,0.5,0.0,2.5,8.5,31.5,109.0,335.5,1142.5,1962.0,773.0,61891.0,9318.5,52919.0,4365.0
2020-04-05,432.75,584.5,2299.25,3994.75,7203.0,12273.25,12733.0,13256.0,9539.25,1581.75,0.0,0.0,4.0,23.5,96.75,429.5,1297.75,3529.25,3659.5,642.0,358.0,560.5,3018.5,4556.25,8308.25,11132.5,7043.0,7709.5,9054.75,3761.25,0.75,0.0,2.75,9.25,32.75,113.5,353.75,1193.25,2059.5,813.5,63897.5,9682.25,55502.5,4579.0
2020-04-06,450.0,621.0,2426.0,4158.0,7444.0,12648.0,13057.0,13581.0,9868.0,1651.0,0.0,0.0,4.0,24.0,102.0,447.0,1349.0,3657.0,3793.0,670.0,375.0,596.0,3181.0,4780.0,8701.0,11608.0,7306.0,7990.0,9525.0,4024.0,1.0,0.0,3.0,10.0,34.0,118.0,372.0,1244.0,2157.0,854.0,65904.0,10046.0,58086.0,4793.0
2020-04-07,469.6666666666667,653.0,2534.6666666666665,4309.333333333333,7636.333333333333,12921.666666666666,13299.333333333334,13798.666666666666,10132.333333333334,1732.0,0.0,0.0,4.333333333333333,24.333333333333332,106.0,466.0,1410.0,3760.6666666666665,3947.0,700.0,391.6666666666667,634.6666666666666,3312.6666666666665,4958.666666666667,9026.0,12026.666666666666,7506.666666666667,8215.333333333334,9995.0,4329.666666666667,1.0,0.0,2.6666666666666665,10.333333333333334,35.666666666666664,123.0,389.0,1293.6666666666667,2254.6666666666665,910.0,67487.0,10418.333333333334,60397.0,5020.0
2020-04-08,489.3333333333333,685.0,2643.3333333333335,4460.666666666667,7828.666666666667,13195.333333333334,13541.666666666666,14016.333333333334,10396.666666666666,1813.0,0.0,0.0,4.666666666666667,24.666666666666668,110.0,485.0,1471.0,3864.3333333333335,4101.0,730.0,408.3333333333333,673.3333333333334,3444.3333333333335,5137.333333333333,9351.0,12445.333333333334,7707.333333333333,8440.666666666666,10465.0,4635.333333333333,1.0,0.0,2.3333333333333335,10.666666666666666,37.333333333333336,128.0,406.0,1343.3333333333333,2352.3333333333335,966.0,69070.0,10790.666666666666,62708.0,5247.0
2020-04-09,509.0,717.0,2752.0,4612.0,8021.0,13469.0,13784.0,14234.0,10661.0,1894.0,0.0,0.0,5.0,25.0,114.0,504.0,1532.0,3968.0,4255.0,760.0,425.0,712.0,3576.0,5316.0,9676.0,12864.0,7908.0,8666.0,10935.0,4941.0,1.0,0.0,2.0,11.0,39.0,133.0,423.0,1393.0,2450.0,1022.0,70653.0,11163.0,65019.0,5474.0
2020-04-10,521.4285714285714,743.2857142857143,2837.4285714285716,4716.571428571428,8162.142857142857,13656.142857142857,13952.42857142857,14425.857142857143,10899.714285714286,1976.2857142857142,0.0,0.0,5.0,25.428571428571427,116.71428571428571,518.5714285714286,1566.857142857143,4048.5714285714284,4360.285714285715,790.0,438.42857142857144,738.4285714285714,3684.8571428571427,5456.428571428572,9929.714285714286,13171.285714285714,8067.428571428572,8870.42857142857,11419.857142857143,5282.714285714285,1.0,0.0,2.0,11.142857142857142,39.857142857142854,135.42857142857142,434.57142857142856,1431.7142857142858,2538.714285714286,1087.857142857143,71891.28571428571,11431.42857142857,67059.57142857143,5682.285714285715
2020-04-11,533.8571428571429,769.5714285714286,2922.8571428571427,4821.142857142857,8303.285714285714,13843.285714285714,14120.857142857143,14617.714285714286,11138.42857142857,2058.5714285714284,0.0,0.0,5.0,25.857142857142858,119.42857142857143,533.1428571428571,1601.7142857142858,4129.142857142857,4465.571428571428,820.0,451.85714285714283,764.8571428571429,3793.714285714286,5596.857142857143,10183.42857142857,13478.57142857143,8226.857142857143,9074.857142857143,11904.714285714286,5624.428571428572,1.0,0.0,2.0,11.285714285714286,40.714285714285715,137.85714285714286,446.14285714285717,1470.4285714285713,2627.4285714285716,1153.7142857142858,73129.57142857143,11699.857142857143,69100.14285714286,5890.571428571428
